年,月,カテゴリー,出来事,URL
2018,4,周辺技術,マーク・ザッカーバーグがケンブリッジ・アナリティカ事件で米上院の公聴会に出席,
2018,5,世の中,GDPR（一般データ保護規則）が欧州で適用。,https://www.ppc.go.jp/enforcement/infoprovision/EU/
2018,9,WordPress,WordBenchが終了,https://capitalp.jp/2018/06/14/wordbench-ends-at-201809/
2018,12,WordPress,ブロックエディターがリリースされ、以前のエディタは「クラシック・エディタ」に。,https://ja.wordpress.org/2018/12/07/wordpress-5-0-bebo/
2019,2,WordPress,サイトヘルス機能の導入,
2019,3,周辺技術,無料レンタルサーバー、ジオシティーズがサービスを終了,
2019,5,ホスティング,Google Cloud Platform 大阪リージョン開設,
2019,5,世の中,グレタ・トゥーンベリがスピーチ「変化をもたらすために未熟すぎるなんてことはない」で世界的に有名に。環境問題に一石を投じる。,
2020,3,世の中,新型コロナウィルスの流行,
2020,6,WordPress,占部紘がGutenbergチームのコミッターに就任。WordPressのコアに取り込まれるコードのコミッターは日本初？,
2021,2,WordPress,WordPressが40%シェアを達成,https://ja.wordpress.org/40-percent-of-web/
2021,9,世の中,デジタル庁が発足,
2022,1,WordPress,フルサイト編集を搭載したWordPress 5.9がリリース。,
2022,5,WordPress,Yoast創業者が「WordPressのシェアが減少し始めた」と報告,https://capitalp.jp/2022/05/12/wordpress-share-is-shrinking/
2022,12,周辺技術,ChatGPTが話題に,
2023,3,周辺技術,イーロン・マスクがTwitterを買収し、Xに変更,
2023,8,WordPress,亡くなったコントリビューターを偲ぶメモリアルサイトができる,https://wordpress.org/remembers/
